Sample XBN-2
Cr
   12.002		35
   13.867		10 
   19.659 		5
   23.095 		17
   24.137 		21
   27.942 		33
   30.507 		100	
   31.320 		78
   34.398 		95
   36.556 		45
   39.928 		1
   41.842 		6
   42.464 		34
   44.882 		3
   46.631 		67
   47.202 		2
   49.438 		88
   51.067 		57
   51.602 		46
   53.702 		22
   55.241 		51
   57.745 		34
   59.214 		10
   59.699 		7
   61.614 		13
   63.028 		23
   63.496 		41
   65.347 		27
   66.718 		25
   67.172 		2
   68.972 		18
   70.308 		42
   72.510 		24
   73.818 		16
   74.253 		5
   75.980 		9		
   77.268 		12	
   77.695 		19
   80.671 		3
   81.094 		11
   82.780 		18
   84.041  		7
   86.136 		35
   87.390  		4
   87.808 		8
   89.479 		9
   90.731 		11
   91.149 		2
   92.819 		1
   94.074 		16
   94.493 		10
   96.170  		22
   97.431 		6
   99.542 		2
 100.814 		8
 101.239		11
  102.947		18
  104.236		2
  104.667		1
  106.400		9
  107.710		14
  108.149		2
  109.915 		8
  111.253		9
  113.511 		19
  114.884		2
  115.345		4
  117.207		7
  118.624		1
  121.031		5
  122.504 		12
  123.000		3
  125.014		6
  126.558		7
  129.203		2
  130.839		8
  131.393		1
  133.659		2
  135.416		7
  136.013		2
